┌───────────────────┬──────────────┬───────────┬────────────┬───────────────┐
│     category      │ transactions │ avg_price │ units_sold │ total_revenue │
│      varchar      │    int64     │  double   │   int128   │    double     │
├───────────────────┼──────────────┼───────────┼────────────┼───────────────┤
│ protein bar       │        11581 │      28.8 │      50072 │    1494670.96 │
│ meal replacement  │         7839 │     35.47 │      30808 │    1160439.58 │
│ supplement        │         5131 │     42.43 │      21520 │     887210.61 │
│ proten shake      │         6101 │     35.13 │      23602 │     867343.31 │
│ healthy snack     │         6568 │     19.48 │      28322 │     529727.59 │
│ electrolyte drink │         5826 │     21.89 │      25398 │     516264.61 │
│ protein shake     │         4003 │     24.51 │      17010 │     408847.66 │
└───────────────────┴──────────────┴───────────┴────────────┴───────────────┘
