┌───────────┬──────────────────┬───────────┬─────────────┬───────────────┐
│ city_tier │ num_transactions │ avg_price │ total_units │ total_revenue │
│  varchar  │      int64       │  double   │   int128    │    double     │
├───────────┼──────────────────┼───────────┼─────────────┼───────────────┤
│ Tier 2    │            13866 │     31.22 │       57870 │    1771999.85 │
│ Tier 1    │            18335 │     31.11 │       73447 │    2221033.44 │
│ Unknown   │             4535 │     30.91 │       21011 │      648905.2 │
│ Tier 3    │             9262 │     27.29 │       38942 │    1172653.37 │
└───────────┴──────────────────┴───────────┴─────────────┴───────────────┘
